station,frequency,year,url,dest
22217,daily,1928,https://data.meteostat.net/daily/1928/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1928\22217.csv.gz
22217,daily,1929,https://data.meteostat.net/daily/1929/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1929\22217.csv.gz
22217,daily,1930,https://data.meteostat.net/daily/1930/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1930\22217.csv.gz
22217,daily,1931,https://data.meteostat.net/daily/1931/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1931\22217.csv.gz
22217,daily,1932,https://data.meteostat.net/daily/1932/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1932\22217.csv.gz
22217,daily,1933,https://data.meteostat.net/daily/1933/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1933\22217.csv.gz
22217,daily,1934,https://data.meteostat.net/daily/1934/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1934\22217.csv.gz
22217,daily,1935,https://data.meteostat.net/daily/1935/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1935\22217.csv.gz
22217,daily,1936,https://data.meteostat.net/daily/1936/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1936\22217.csv.gz
22217,daily,1937,https://data.meteostat.net/daily/1937/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1937\22217.csv.gz
