timestamp_utc,station,frequency,year,url,dest,status,bytes,error
2026-06-04T22:42:59+00:00,22217,daily,1928,https://data.meteostat.net/daily/1928/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1928\22217.csv.gz,downloaded,3781,
2026-06-04T22:42:59+00:00,22217,daily,1929,https://data.meteostat.net/daily/1929/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1929\22217.csv.gz,downloaded,3852,
2026-06-04T22:43:00+00:00,22217,daily,1930,https://data.meteostat.net/daily/1930/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1930\22217.csv.gz,downloaded,3804,
2026-06-04T22:43:00+00:00,22217,daily,1931,https://data.meteostat.net/daily/1931/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1931\22217.csv.gz,downloaded,3769,
2026-06-04T22:43:01+00:00,22217,daily,1932,https://data.meteostat.net/daily/1932/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1932\22217.csv.gz,downloaded,3836,
2026-06-04T22:43:01+00:00,22217,daily,1934,https://data.meteostat.net/daily/1934/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1934\22217.csv.gz,downloaded,3806,
2026-06-04T22:43:02+00:00,22217,daily,1935,https://data.meteostat.net/daily/1935/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1935\22217.csv.gz,downloaded,3734,
2026-06-04T22:43:03+00:00,22217,daily,1936,https://data.meteostat.net/daily/1936/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1936\22217.csv.gz,downloaded,3783,
2026-06-04T22:43:13+00:00,22217,daily,1918,https://data.meteostat.net/daily/1918/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1918\22217.csv.gz,downloaded,3765,
2026-06-04T22:43:14+00:00,22217,daily,1938,https://data.meteostat.net/daily/1938/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1938\22217.csv.gz,downloaded,3738,
2026-06-04T22:43:15+00:00,22217,daily,1939,https://data.meteostat.net/daily/1939/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1939\22217.csv.gz,downloaded,3767,
2026-06-04T22:43:16+00:00,22217,daily,1940,https://data.meteostat.net/daily/1940/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1940\22217.csv.gz,downloaded,3912,
2026-06-04T22:43:17+00:00,22217,monthly,,https://data.meteostat.net/monthly/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\monthly\22217.csv.gz,downloaded,21039,
2026-06-04T22:43:18+00:00,22217,daily,1942,https://data.meteostat.net/daily/1942/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1942\22217.csv.gz,downloaded,3871,
2026-06-04T22:43:18+00:00,22217,daily,1943,https://data.meteostat.net/daily/1943/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1943\22217.csv.gz,downloaded,3769,
2026-06-04T22:43:19+00:00,22217,daily,1915,https://data.meteostat.net/daily/1915/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1915\22217.csv.gz,downloaded,3940,
2026-06-04T22:43:19+00:00,22217,daily,1944,https://data.meteostat.net/daily/1944/22217.csv.gz,C:\Users\LL1urace\OneDrive\Рабочий стол\meteostat_bulk_downloader_pack\meteostat_arctic_20_daily_monthly\daily\1944\22217.csv.gz,downloaded,3746,
